Wavelength (nm),H2O,prot_2,prot_4,prot_8,prot_12,prot_16,prot_20,prot_24,prot_28,prot_32,prot_36
333,-0.00064734,0.00041642,2.74E-05,-0.000263646,0.000678872,0.001436715,0.001052478,0.003307849,-0.000162689,0.001845677,0.001245969
334,-0.000523358,0.000664431,-0.000533131,-0.000697067,0.000920548,0.002083816,-0.000733403,0.002767935,-0.002131235,0.000772814,0.002306444
335,0.000714289,0.000784743,0.001206459,0.000608125,0.001693678,0.001215285,0.002310712,0.002752722,0.001964444,0.00171031,0.002350245
336,0.000456195,0.001096774,-0.000899072,0.001809674,0.000712007,0.000774059,0.002237799,0.002346289,0.001183123,0.001684453,0.001077389
337,-0.001670209,0.000254793,-0.001299755,-0.000666725,-0.000689882,0.000921093,0.001073471,0.000898655,0.001570386,0.000176371,0.001347693
338,0.000906774,0.001430145,0.002623452,0.002213601,0.000755647,0.002831323,0.002981741,0.004450521,0.001496844,0.001882255,0.003294651
339,-0.001325253,0.00102544,0.000114509,-8.57E-05,0.001054424,0.001943954,0.002182251,0.002327837,0.000701558,0.000687506,0.001902405
340,-0.000285687,0.000468348,0.000789281,0.00089562,0.001851448,0.000728317,0.001570283,0.003201284,0.001208484,0.001426872,0.001262973
341,0.001628845,0.000554858,0.001317573,0.000671042,0.001013686,0.001427625,0.001932149,0.002683094,0.001529263,0.0008868,0.003656235
342,-0.000404306,-4.28E-05,-0.001242611,7.51E-05,0.000575671,0.000728706,0.000902545,0.001407238,-0.000411599,0.000943013,0.00170597
343,-0.000565654,0.000689995,-6.32E-05,-9.22E-05,0.002279068,0.001810038,0.00010164,0.002818635,-0.001591604,0.000483949,9.15E-05
344,-0.000275391,0.001458662,0.002082281,-0.000679389,0.002186231,0.000828416,0.002703567,0.002479746,-0.001051508,0.001303475,0.002339678
345,0.000887501,0.001187692,0.001719224,0.001360651,0.000907889,0.001527366,0.00194073,0.003052302,0.001614398,0.001030629,0.000322296
346,-0.002256715,6.91E-06,-8.29E-05,0.001154598,0.000209338,-0.000790149,0.000413777,0.003995652,0.000541458,0.00095186,0.001564307
347,-0.000512654,0.000459123,-0.00080219,-0.000973256,0.001595198,0.000960395,0.001118366,0.002554861,0.000415176,0.000169586,0.002368177
348,-0.001128094,-0.002150347,-0.0010121,-0.001861348,0.000497269,0.001177724,0.000628941,0.001499935,-0.00074007,0.001053957,0.001796183
349,-0.000311555,0.002814987,-1.48E-05,0.000934063,0.002650355,0.002139404,0.000141878,0.001369895,0.010839104,0.00282137,0.003143082
350,0.002985285,0.004213878,7.72E-05,0.002438483,0.002949578,0.002471779,0.001073938,0.001928327,0.009381631,0.002976085,-0.00052977
351,0.002265771,0.002484249,-0.002927238,0.001482454,0.00151856,0.001422951,0.003065519,0.004228124,0.009961803,0.000577848,0.001689156
352,-0.002671225,0.001511391,-0.001750862,-0.002574222,-0.003651817,-0.000849161,-0.003553184,0.000525959,0.009449245,0.000202968,0.001318768
353,3.40E-05,0.001238856,0.000985561,-4.71E-05,0.002890994,0.001021496,0.000491283,0.005640708,0.010109809,0.004120548,0.00335762
354,-0.000877786,-0.001755708,-0.002012932,4.62E-05,-0.000366339,0.004249271,0.001831639,0.003291234,0.008503809,4.09E-05,0.000961199
355,0.000289968,-0.001347034,-0.001903979,-0.00194212,0.001680996,-0.002452128,-0.000486642,-0.00028993,0.005837251,-0.00010172,-0.000438184
356,0.000782461,-0.002054929,-0.000441442,-0.001690683,0.001593821,0.001267594,0.003671532,0.003339281,0.011832496,-0.000211282,0.000299889
357,-0.002249402,0.000694247,-0.000628626,-0.002119385,-0.002176053,-0.002012262,0.002690231,0.001314977,0.010063709,-0.000210091,0.000659013
358,-0.001367523,0.001781705,-0.000974496,-0.000130601,-0.001386876,-0.000712625,0.002249508,0.003215313,0.011241825,7.20E-05,-0.000191617
359,-0.001588767,0.000868099,0.001330686,0.000709674,0.001849395,0.000269738,0.001529652,0.002104521,0.008660772,0.001020925,0.000386468
360,0.000507143,-0.002118509,-0.000667603,-0.000739398,0.000384059,-0.001971292,0.001745057,-0.000170245,0.00816734,0.001560852,0.000357529
361,0.000615875,0.000916449,0.002605899,0.001076455,0.001964652,0.00100105,0.001437676,0.001931707,0.011101877,0.001611021,0.00306054
362,-0.002179762,0.001161217,-1.85E-05,0.00034771,-0.001128558,-0.004536144,0.002690934,0.000588139,0.010413263,-0.000827355,9.11E-05
363,4.63E-05,0.000735188,1.39E-05,0.001324558,-0.000807306,0.000593297,0.002856962,0.001834811,0.011740732,0.002334473,3.21E-05
364,-9.77E-05,8.35E-05,0.000570539,0.000411963,-0.000370219,-2.28E-05,0.004622038,0.001054631,0.009794149,0.001563268,0.001613879
