Wavelength [nm],TBS,599_400_2,599_402_4,599_404_6,599_406_8,599_408_10,599_410_12,TBS2,599_400_2,599_402_4,599_404_6,599_406_8,599_408_10,599_410_12
299,0.01114321,0.03253889,0.03218699,0.03480291,0.03909588,0.0341363,0.03826952,0.01507759,0.04312468,0.06772327,0.08840895,0.1113858,0.1398492,0.1581597
300,0.01112223,0.03217602,0.03126049,0.03360701,0.03710318,0.03193283,0.0357523,0.01492548,0.03889656,0.05915785,0.07626724,0.09521961,0.1200757,0.1344109
301,0.0110445,0.03158283,0.03028631,0.03234243,0.0360117,0.02995777,0.03331661,0.0147438,0.03509569,0.05235147,0.06621313,0.08183861,0.1034284,0.1149502
302,0.01130009,0.0312047,0.0293951,0.0316,0.03442049,0.02834749,0.03155422,0.01452732,0.0322051,0.04686594,0.05789614,0.07078123,0.08979797,0.0987339
303,0.01104355,0.03107166,0.02893543,0.03027534,0.03337669,0.02736616,0.03016853,0.01447201,0.02951527,0.04240894,0.05097866,0.06225634,0.07854414,0.08488035
304,0.01129246,0.03102684,0.02831697,0.03002548,0.03255701,0.02650404,0.02893019,0.01461411,0.02791071,0.03848314,0.04568195,0.05475283,0.0694356,0.07429647
305,0.01102114,0.03054428,0.02810955,0.02926588,0.03159952,0.0253005,0.02780914,0.01418257,0.0259881,0.03506613,0.0408206,0.04857874,0.06176758,0.06524801
306,0.01110411,0.02996969,0.02761316,0.02859926,0.03091049,0.02457523,0.02648258,0.01386118,0.02433109,0.03244638,0.03715277,0.04356098,0.05563307,0.0580821
307,0.01120281,0.02972555,0.0269475,0.02782822,0.03026724,0.02392483,0.02562809,0.01362467,0.02310801,0.03025389,0.03389835,0.03944349,0.05031776,0.05209255
308,0.0110898,0.02939367,0.02642488,0.02728415,0.02951574,0.02333307,0.02462578,0.01320028,0.0219202,0.02834129,0.03124857,0.03596306,0.04648447,0.04708672
309,0.01074457,0.02891254,0.02579021,0.02684164,0.02883196,0.02231407,0.02375317,0.01269817,0.0205698,0.0264802,0.02867508,0.03316212,0.04260445,0.04324818
310,0.01093578,0.02899027,0.02616596,0.02673721,0.02866507,0.02254295,0.02378321,0.01264048,0.0200448,0.02542496,0.02747393,0.03122854,0.04035616,0.04022026
311,0.01071119,0.02893209,0.02593756,0.02650881,0.02855349,0.02220631,0.02344322,0.01270628,0.01996374,0.02461863,0.02647018,0.02994061,0.03833103,0.03793001
312,0.01119709,0.02926445,0.0260787,0.02661133,0.02821732,0.02230072,0.02334261,0.01302147,0.01965761,0.02452898,0.02557755,0.02888536,0.03712702,0.03630495
313,0.01089764,0.029006,0.02558088,0.02627659,0.02790451,0.02211523,0.02279615,0.01271772,0.01910973,0.02344084,0.02466011,0.02753925,0.03566265,0.034554
314,0.01086998,0.02889585,0.02540493,0.02636576,0.02757645,0.02188921,0.02270889,0.01282024,0.01880217,0.02292156,0.02409792,0.02671719,0.03465557,0.03330946
315,0.01096153,0.02922821,0.02578259,0.02650881,0.02779531,0.02218819,0.02280569,0.01268864,0.01869869,0.02269793,0.02373934,0.02626848,0.03409529,0.03245401
316,0.01124811,0.02961922,0.02603674,0.0263772,0.02793169,0.02244425,0.02291584,0.01278448,0.01862192,0.02257967,0.02335644,0.02572346,0.03358507,0.03159714
317,0.01121283,0.02933311,0.02575541,0.0262785,0.02763176,0.02231979,0.02262068,0.0129385,0.01826286,0.02210283,0.0229373,0.0252161,0.03259325,0.0309
318,0.01121902,0.02921343,0.02583933,0.0261035,0.02768564,0.02212048,0.02241278,0.01287889,0.01818466,0.02197075,0.02242041,0.02487373,0.03198099,0.03032207
319,0.01119041,0.02950048,0.02584934,0.02619982,0.0274086,0.02212477,0.02231216,0.01278591,0.01799154,0.02159691,0.02202177,0.02440548,0.03189707,0.0296402
320,0.01117563,0.02925682,0.02549648,0.02606249,0.02746439,0.02187347,0.02222633,0.01273298,0.01776409,0.02132177,0.02172613,0.02416992,0.03144693,0.02931404
321,0.01133823,0.02948093,0.02578783,0.02624941,0.0276289,0.02229691,0.02237701,0.01289701,0.01778316,0.02151012,0.02192259,0.02400446,0.03121853,0.02900505
322,0.01133394,0.02942848,0.0256958,0.02594662,0.02751923,0.02236795,0.02227545,0.01286173,0.01794672,0.0211792,0.0216732,0.02356768,0.03066349,0.02840614
323,0.01135874,0.02960253,0.02579069,0.02612782,0.02743053,0.02210331,0.02213812,0.01297474,0.01769257,0.02095747,0.02162838,0.02328348,0.03053904,0.02806044
324,0.01095963,0.02926397,0.02545929,0.02570152,0.02714872,0.02176809,0.02166843,0.01263189,0.01726866,0.02069283,0.02110291,0.0228219,0.03017282,0.02750254
325,0.01097727,0.0294776,0.02555704,0.02597237,0.0271697,0.02215862,0.02203226,0.01286602,0.0174818,0.02066422,0.02112579,0.02296352,0.03004313,0.02748728
326,0.01130915,0.02948046,0.02575159,0.02615118,0.02734184,0.02213573,0.02228355,0.01290751,0.01745081,0.02064657,0.02130938,0.02298117,0.02971363,0.02758217
327,0.01109934,0.02939463,0.02558136,0.02595472,0.02742529,0.0218997,0.0217557,0.01275253,0.01745033,0.02055645,0.02097511,0.02260447,0.02958012,0.02717113
328,0.01123667,0.02939653,0.02569008,0.02599669,0.02692556,0.02153778,0.02181149,0.01265669,0.01705074,0.02023935,0.02054262,0.02216625,0.02927017,0.02673674
329,0.0113039,0.02922106,0.02563524,0.02610636,0.02696133,0.02180338,0.02175331,0.01245832,0.0172081,0.02038622,0.02076197,0.02228069,0.02901506,0.02670431
330,0.01139975,0.02976704,0.02565575,0.02606726,0.02720451,0.02147722,0.02155495,0.01282358,0.01724529,0.02015591,0.02065849,0.02205372,0.02895689,0.02615643
331,0.0113883,0.02986622,0.0256958,0.02620506,0.02748537,0.02198458,0.02174664,0.01286125,0.01757479,0.02089977,0.02090979,0.02224445,0.02917767,0.02654552
332,0.01137257,0.02972269,0.02567291,0.02593136,0.02680826,0.02157021,0.02131891,0.01298523,0.01691103,0.02009344,0.02009344,0.02183294,0.02892208,0.02584124
