Wavelength (nm),h2o,nir0.5,nir1,nir1.5,nir2,nir2.5,nir3,nir3.5,nir4,prot1,prot2,prot3,prot4,prot6,prot8,prot10,prot12,prot14,prot16,prot20,prot24,prot28,prot32,prot36,prot42,prot48,prot54,prot60
388.333313,0.000584173,-0.001885989,-0.001850883,-0.001553895,-0.00059316,0.000181524,-0.000164241,0.000149698,0.00151695,0.001002866,0.001657271,0.00152721,0.002161984,0.004017388,0.00336962,0.003696151,0.006123715,0.00747559,0.006200881,0.006966799,0.009618328,0.010028873,0.010420369,0.010863707,0.01094525,0.011259836,0.012353495,0.014202738
388.6666565,-0.000577132,-0.000989321,-0.001303575,-0.001034981,0.000353099,9.14E-05,0.000282689,0.000535315,0.002537649,0.001619335,0.001850044,0.002487634,0.003563207,0.003980055,0.004704433,0.004830056,0.00696701,0.008109841,0.006908827,0.007117813,0.0098139,0.010174463,0.010564606,0.011477917,0.011168539,0.012427807,0.013097535,0.014348076
389,-5.84E-05,-0.002450789,-0.001570042,-0.001464125,-0.001008639,-0.000307313,-0.00016657,0.000775848,0.001276369,0.001128514,0.001845547,0.001610579,0.002817749,0.003274541,0.003826889,0.003925929,0.005807396,0.006926791,0.00674056,0.006836874,0.009196697,0.009847264,0.009782658,0.010463511,0.011379452,0.011854096,0.012688213,0.013843681
389.333313,-0.000385013,-0.002269952,-0.002043438,-0.001834541,-0.001460822,-0.001306826,0.00011381,-0.000216405,0.000697332,0.000669254,0.00153638,0.001304565,0.001475129,0.002488103,0.002724927,0.003464276,0.005480192,0.006828985,0.006746002,0.007110682,0.008559221,0.00945951,0.009913679,0.010059285,0.011076862,0.010234728,0.011796373,0.012743229
389.6666565,0.000874531,-0.0018797,-0.001552864,-0.001173481,-9.14E-05,-0.000672514,-0.000176041,0.000101252,0.001721771,0.00180801,0.001433261,0.002131574,0.003105146,0.003756463,0.003788267,0.004082893,0.006498094,0.007624147,0.0078475,0.007164339,0.009181203,0.00941586,0.010611926,0.010444684,0.011397867,0.012163032,0.012826166,0.01386629
390,0.000918239,-0.000612651,-0.000973566,-0.001061011,0.000336648,0.000392997,0.000451634,0.001105624,0.001592496,0.001245294,0.002800866,0.003215157,0.003699336,0.00355021,0.004690982,0.004246866,0.007484624,0.007934622,0.007501294,0.008762135,0.009911958,0.010694563,0.011719297,0.011815418,0.012163351,0.012084773,0.013320572,0.014382351
390.333313,0.000593556,-0.001027337,-0.000328162,-0.000904497,-0.000249573,0.000805152,0.000746571,0.000811973,0.002086235,0.002427368,0.002379812,0.002290466,0.003540475,0.003535465,0.004396545,0.005018509,0.006849339,0.008308746,0.007740895,0.007611423,0.010032634,0.010586011,0.010719796,0.011083236,0.011498383,0.012180788,0.013096628,0.013636482
390.6666565,0.000132712,-0.001503595,-0.001093857,-0.00169455,-0.000218785,0.000111428,0.00081786,0.000816356,0.001428275,0.001189768,0.001279173,0.00166964,0.002435828,0.003558222,0.00345483,0.004309215,0.00684734,0.00768535,0.007374474,0.007601281,0.008921015,0.009646488,0.01016434,0.01077053,0.011514944,0.012090016,0.011977362,0.014181501
391,0.000551514,-0.001048461,-0.000210816,-0.001277456,6.78E-05,0.000155965,0.000192065,0.001005669,0.001770737,0.002272172,0.002206655,0.001860287,0.003388221,0.004006494,0.00426655,0.004817833,0.006383545,0.007562401,0.007313368,0.008203874,0.00971065,0.009959445,0.010341655,0.011548039,0.011603628,0.011868196,0.013326551,0.013856161
391.333313,-0.000236637,-0.00170703,-0.001450554,-0.001721418,-0.00046968,0.000663705,0.00023775,0.000486774,0.001380854,0.001387112,0.001951287,0.001198075,0.002936183,0.003078684,0.003610919,0.003778579,0.006270891,0.007190972,0.007115945,0.008276213,0.008880167,0.00967698,0.010188773,0.010814767,0.010726641,0.011345068,0.012866587,0.013786494
