,H2O_396,vel_0.5_396.5,vel_1_397,vel_1.5_397.5,vel_2_398,vel_2.5_398.5,vel_3_399,vel_3.5_399.5,vel_4_400,vel_4_400_prot_0.5,vel_4_400_prot_1,vel_4_400_prot_1.5,vel_4_400_prot_2,vel_4_400_prot_3,vel_4_400_prot_4,vel_4_400_prot_5,vel_4_400_prot_6,vel_4_400_prot_8,vel_4_400_prot_10,vel_4_400_prot_12,vel_4_400_prot_16,vel_4_400_prot_20,vel_4_400_prot_24,vel_4_400_prot_28,vel_4_400_prot_32,vel_4_400_prot_36,vel_4_400_prot_40,vel_4_400_prot_44,vel_4_400_prot_48,vel_4_400_prot_52,vel_4_400_prot_56,vel_4_400_prot_60
249,-8.44E-05,0.01249743,0.02158308,0.03660965,0.04696512,0.0609026,0.07226229,0.08144522,0.09142923,0.09201097,0.09393406,0.0937109,0.09700155,0.09970379,0.1024632,0.1074471,0.1110024,0.1184225,0.1269608,0.1333985,0.1533151,0.1664872,0.1853485,0.1983323,0.2130232,0.2294807,0.2446647,0.2598629,0.2711124,0.2861576,0.3079262,0.3216505
250,-6.68E-05,0.01243925,0.02185678,0.03707647,0.04759026,0.06132793,0.0730443,0.08231068,0.09239292,0.09301043,0.09479856,0.09471941,0.09803295,0.1006989,0.1033115,0.1083541,0.1116233,0.1190262,0.1274385,0.1340117,0.1537943,0.1668339,0.1856327,0.1986876,0.2130513,0.2293787,0.2450809,0.2598562,0.2708449,0.2859077,0.3079453,0.3213005
251,-1.81E-05,0.01267195,0.02224779,0.0376215,0.04849815,0.06232595,0.07435131,0.08378029,0.09414768,0.09472561,0.09664536,0.09675837,0.09989023,0.1027694,0.1052656,0.1102777,0.1137209,0.1212831,0.1299343,0.1367011,0.1568923,0.1706572,0.1895809,0.2030373,0.21804,0.2345266,0.2503204,0.265646,0.2773461,0.2926936,0.3148603,0.3285398
252,3.29E-05,0.01294136,0.02271795,0.03824711,0.04963779,0.06384373,0.07580853,0.08563709,0.09627485,0.09681559,0.09882259,0.09884501,0.1021857,0.1053185,0.1079235,0.1129894,0.1168189,0.1246448,0.1336436,0.1405525,0.1616664,0.1759038,0.195714,0.2095942,0.2252655,0.2427058,0.258873,0.2746935,0.2872443,0.3034286,0.3258915,0.3405981
253,6.68E-06,0.01323605,0.02337933,0.03932762,0.05088902,0.06530714,0.07773924,0.08788252,0.09893322,0.09944201,0.1015005,0.1015782,0.1047721,0.1080041,0.1108665,0.1162987,0.1200194,0.1283245,0.1374865,0.1448398,0.1663399,0.1814671,0.2018023,0.2163291,0.2325487,0.250824,0.2676311,0.283864,0.2971172,0.3139219,0.3370295,0.352293
254,-3.39E-05,0.01363373,0.02401972,0.04033804,0.05229712,0.06720734,0.07997608,0.09067917,0.1019573,0.1025558,0.1046209,0.104692,0.1078358,0.1112642,0.1141806,0.1197715,0.1236434,0.1319385,0.1416988,0.1491175,0.1713772,0.1869307,0.2079062,0.2229753,0.2396383,0.2581868,0.2757096,0.2926145,0.306273,0.3235278,0.347383,0.3628912
255,-2.53E-05,0.01410818,0.02501154,0.04161024,0.05385065,0.06937551,0.08234596,0.09345818,0.1052113,0.1058125,0.1080804,0.1080947,0.1115446,0.1149464,0.1177769,0.1235919,0.1275921,0.1363187,0.1465421,0.1541142,0.1770682,0.1932392,0.2152224,0.2307434,0.2483325,0.2673807,0.2851443,0.3029852,0.3172593,0.3350687,0.3590803,0.3756576
256,-0.000183106,0.01442289,0.02587795,0.04288673,0.05563402,0.07158995,0.08499336,0.09627914,0.1086836,0.1094017,0.111733,0.1117315,0.1153159,0.1188817,0.1221161,0.1280656,0.1322074,0.1415663,0.1520815,0.160531,0.184495,0.2020941,0.2244806,0.2411532,0.2597537,0.2796845,0.298574,0.3173971,0.3322124,0.351429,0.3762312,0.3934031
257,-2.53E-05,0.01500225,0.02689075,0.0443759,0.057693,0.07393694,0.08792257,0.0999217,0.1125126,0.113328,0.1157928,0.1160617,0.1196427,0.1235642,0.1272116,0.1334519,0.1379824,0.1482191,0.1595058,0.1686044,0.1940999,0.2131419,0.2371831,0.2553244,0.2755513,0.2967052,0.3172641,0.3369679,0.3535757,0.3741708,0.4002876,0.4188762
258,-8.58E-05,0.01548958,0.02798223,0.0459075,0.05967331,0.07647181,0.09074974,0.1032796,0.1165476,0.1174626,0.1200171,0.1205988,0.1241064,0.1285639,0.1325154,0.1391697,0.1443286,0.155241,0.1674781,0.1774054,0.2048154,0.2256508,0.2511969,0.2710977,0.2929811,0.3160405,0.3378649,0.3594713,0.3779225,0.3997569,0.4275856,0.4475627
259,-0.000157356,0.01588917,0.02886152,0.04734612,0.06156349,0.07897902,0.09377337,0.1067338,0.1205258,0.1216869,0.1243038,0.1249399,0.128727,0.1334085,0.1375957,0.1445994,0.1500621,0.1616058,0.1745238,0.1852393,0.2142959,0.2362761,0.2634721,0.2847953,0.3081717,0.3321104,0.3557005,0.3784289,0.3978772,0.4213028,0.4499974,0.4712501
260,-0.00013113,0.01638556,0.03008795,0.04895926,0.06354141,0.08150196,0.0969305,0.1103978,0.1246448,0.1257825,0.1285925,0.1293283,0.1332464,0.1379943,0.1423349,0.1496229,0.1551704,0.1672063,0.1806211,0.1918645,0.2218723,0.2449055,0.2730675,0.2955279,0.319521,0.3443909,0.3686624,0.3926983,0.4128242,0.4373212,0.4665289,0.4892693
261,0.000130653,0.01694012,0.03113413,0.05045509,0.06546402,0.08405733,0.09983683,0.1137619,0.1283245,0.1295581,0.132472,0.1333041,0.1372933,0.1423135,0.146894,0.154386,0.1599774,0.1726298,0.1867328,0.1985192,0.2292018,0.2536364,0.2826877,0.3057652,0.3310003,0.3568301,0.3819947,0.4068875,0.4282999,0.4534245,0.4840722,0.5074091
