,H2O,MEF_0.5,MEF_1,MEF_1.5,MEF_2,MEF_2.5,MEF_3,MEF_3.5,MEF_4,MEF_4_prot_0.5,MEF_4_prot_1,MEF_4_prot_2,MEF_4_prot_3,MEF_4_prot_4,MEF_4_prot_5,MEF_4_prot_6,MEF_4_prot_8,MEF_4_prot_10,MEF_4_prot_12,MEF_4_prot_14,MEF_4_prot_16,MEF_4_prot_20,MEF_4_prot_24,MEF_4_prot_28,MEF_4_prot_32,MEF_4_prot_36,MEF_4_prot_40,MEF_4_prot_44,MEF_4_prot_48,MEF_4_prot_52,MEF_4_prot_56,MEF_4_prot_56
227,0.005363464,0.01001263,0.02442551,0.03118134,0.04250383,0.05402708,0.06471539,0.07511854,0.08789873,0.1140332,0.136868,0.2257915,0.3143315,0.3886595,0.4729166,0.5597534,0.7701664,0.9802852,1.172178,1.368729,1.55646,1.938714,2.254525,2.527636,2.741491,2.861678,2.90464,2.882106,2.949227,3.008645,3.081714,3.08403
228,0.005289555,0.008617401,0.02165604,0.02740526,0.03774214,0.04848814,0.05808496,0.06742001,0.07903862,0.1027899,0.1237874,0.2045283,0.2855859,0.3533907,0.42981,0.5090456,0.7012329,0.8923855,1.067897,1.24672,1.422262,1.778989,2.106135,2.355389,2.574707,2.716823,2.793246,2.926262,2.950793,2.979609,3.071636,3.152248
229,0.005235195,0.007433414,0.0195961,0.02470207,0.03403044,0.04424095,0.05298519,0.06207371,0.07261276,0.09409618,0.1129932,0.1854491,0.2582936,0.3197598,0.3881593,0.4594369,0.6324658,0.8047342,0.963623,1.126264,1.283117,1.614067,1.913107,2.177282,2.419003,2.597815,2.692749,2.810785,2.823938,2.937792,3.039742,3.008376
230,0.00511694,0.006324768,0.01786375,0.02235413,0.03134251,0.0408926,0.04935503,0.057724,0.06796741,0.08682489,0.1038995,0.1676226,0.2324667,0.2870054,0.3474975,0.410872,0.5646429,0.7178068,0.8595705,1.003529,1.144982,1.441356,1.719246,1.970131,2.211102,2.39549,2.572786,2.688208,2.83987,2.909662,2.98277,2.995687
231,0.005092621,0.005671978,0.0168066,0.02094269,0.02939653,0.0386157,0.04679775,0.05498648,0.06465197,0.08127689,0.09633923,0.151855,0.2086921,0.2566943,0.3097258,0.365087,0.500391,0.6356258,0.7592664,0.886405,1.010076,1.272721,1.517247,1.747301,1.971897,2.188353,2.326612,2.474386,2.661038,2.728617,2.823923,2.836497
232,0.005004883,0.004841328,0.0153861,0.01915741,0.02734947,0.03630304,0.04398584,0.05206776,0.06132746,0.07577467,0.08877087,0.1367359,0.1864305,0.2281117,0.2735801,0.322341,0.4391265,0.5559721,0.6622992,0.7721701,0.8789692,1.108768,1.323517,1.522373,1.720347,1.913565,2.079485,2.245116,2.382703,2.487453,2.612443,2.706611
233,0.004927158,0.003832817,0.01382971,0.01701212,0.02480888,0.033463,0.04067135,0.04841328,0.0569663,0.06950903,0.08097982,0.1222181,0.1652312,0.2013197,0.2405686,0.2826276,0.3830166,0.4826303,0.5730844,0.6674185,0.759017,0.9557691,1.141048,1.314561,1.491675,1.658194,1.826844,1.979176,2.115131,2.251667,2.359402,2.502128
234,0.004842281,0.003018379,0.01226425,0.01487064,0.02198696,0.03012991,0.03705597,0.04421139,0.05219221,0.06275415,0.07297373,0.1080503,0.1450834,0.1764245,0.2092099,0.2457232,0.3304877,0.4143686,0.4899969,0.5682845,0.6451149,0.809938,0.9652882,1.112379,1.260289,1.407887,1.549909,1.684529,1.809564,1.936073,2.057289,2.183885
235,0.005045414,0.002305031,0.01084614,0.01283264,0.01942158,0.02702808,0.03347063,0.0400672,0.04734802,0.05653477,0.06522131,0.09480524,0.1265526,0.1532664,0.1808987,0.2119389,0.2824397,0.3527117,0.4138513,0.4798732,0.5427375,0.6806302,0.8095946,0.928453,1.054575,1.178528,1.298503,1.413174,1.524353,1.638646,1.745038,1.853354
236,0.004790783,0.001535416,0.009567261,0.0109458,0.01721001,0.02422523,0.03044987,0.0366807,0.04338741,0.0510354,0.05839157,0.08282328,0.109489,0.1316781,0.1546321,0.1806488,0.2387085,0.2964211,0.3464222,0.4003553,0.4526863,0.5654082,0.6722608,0.7695346,0.8731389,0.976449,1.077863,1.173285,1.263112,1.362047,1.449347,1.541419
237,0.004767418,0.000935078,0.008480549,0.009506226,0.01549625,0.02251339,0.02814484,0.03416252,0.04053926,0.04674053,0.05285168,0.07196283,0.09348679,0.1117787,0.1295838,0.1515336,0.1984577,0.2458029,0.2856803,0.3291297,0.3715415,0.4635696,0.5503764,0.6283317,0.7131262,0.796288,0.8782382,0.9576602,1.030063,1.113881,1.184489,1.260541
