Wavelength (nm),H2O,prot5uM,nir_1,nir_1-2,nir_2,nir_2-2,nir_3,nir_3-2,nir_4,nir_4-2,nir_5,nir_5-2,nir_6,nir_6-2,nir_7,nir_7-2,nir_8,nir_8-2,nir_9,nir_9-2,nir_10,nir_10-2,nir_12,nir_12-2,nir_14,nir_14-2,nir_16,nir_16-2,nir_18,nir_18-2,nir_20,nir_20-2,nir_24,nir_24-2,nir_28,nir_28-2,nir_32,nir_32-2,nir_40,nir_40-2
263,-0.000161291,0.044074669,0.04940179,0.048604462,0.055032473,0.054722771,0.059979055,0.059963126,0.065743282,0.066545762,0.072073102,0.070128232,0.076580159,0.075678945,0.081171677,0.081263743,0.085354716,0.085542887,0.089706257,0.089675575,0.095190994,0.094102159,0.102405176,0.102334462,0.109593734,0.109791845,0.117588177,0.116600797,0.124866918,0.12442115,0.13115558,0.130990326,0.14567399,0.144348577,0.159895569,0.159992397,0.174203262,0.173462346,0.199866667,0.198948726
264,-0.000487315,0.045639221,0.051790491,0.050274599,0.056541532,0.055422973,0.060666628,0.060398512,0.065141544,0.065259457,0.070382334,0.070967332,0.07430698,0.073859021,0.079675317,0.07935714,0.082200661,0.083858401,0.087158971,0.087263934,0.092158899,0.091719814,0.09917289,0.098517358,0.10612952,0.105109155,0.112545848,0.111914918,0.119715594,0.1194764,0.126964048,0.126710177,0.139216855,0.138833061,0.150990844,0.152407304,0.164905787,0.164201513,0.18785955,0.187914282
265,0.000279322,0.048700128,0.053186592,0.053599361,0.058648024,0.057910036,0.061535764,0.061690647,0.066776671,0.066722155,0.070959404,0.070765652,0.074407496,0.074866682,0.079658367,0.078551941,0.08228334,0.083447829,0.086334392,0.087187484,0.091365539,0.090085775,0.097087622,0.097580455,0.104456268,0.104389072,0.111010589,0.110685952,0.11812567,0.118054904,0.12337222,0.123155817,0.136435151,0.135155574,0.146922857,0.147981316,0.160295457,0.15976575,0.181601405,0.183230415
266,-0.000226857,0.050498154,0.054335244,0.053159207,0.059517309,0.058858555,0.062101342,0.062233634,0.066363193,0.066221856,0.07038267,0.070117526,0.073973402,0.073832206,0.078949526,0.078097761,0.081572548,0.08264491,0.085244514,0.086230822,0.089406215,0.088684313,0.095764093,0.095696323,0.103734143,0.102412321,0.108730897,0.108933404,0.115294814,0.11582005,0.121326931,0.120724648,0.133111417,0.132983357,0.145256132,0.145235539,0.157335654,0.157119572,0.179447278,0.179169029
267,0.000914711,0.052450899,0.056954406,0.056066401,0.060415231,0.060330186,0.063458025,0.063891411,0.068045408,0.068053432,0.071951032,0.071651682,0.075150996,0.075020678,0.079177059,0.078735359,0.082700454,0.083039336,0.086359404,0.086841844,0.090966001,0.090134643,0.096573912,0.096494637,0.103268363,0.10422197,0.109334275,0.109987579,0.1176214,0.116380364,0.122320496,0.122440793,0.134734437,0.133306563,0.145072654,0.14595443,0.158327952,0.156371847,0.18028073,0.179690495
268,0.000430049,0.05604988,0.059882388,0.058930151,0.063417375,0.06243312,0.066422857,0.066557199,0.069811106,0.070123002,0.073649652,0.074004985,0.076857686,0.076506585,0.08110559,0.080679469,0.084522568,0.084600188,0.089193851,0.089365989,0.092435099,0.092370056,0.09886419,0.098471925,0.106214047,0.105975658,0.112146728,0.112434939,0.119443715,0.117683172,0.124674536,0.12421412,0.13610217,0.137206912,0.149691984,0.149434909,0.161201417,0.160331324,0.183234394,0.182583392
269,0.000896164,0.056990739,0.06089741,0.060959186,0.064498298,0.064071469,0.06754522,0.067662582,0.070766628,0.070787288,0.074978068,0.074391454,0.078845374,0.078307584,0.082995772,0.082474194,0.085610636,0.086792178,0.090335034,0.089869484,0.093843021,0.093285732,0.101545729,0.100913025,0.108376198,0.107990943,0.114634156,0.11493741,0.121057123,0.121588893,0.127038464,0.127085179,0.139945775,0.13970308,0.15184468,0.15228051,0.164384067,0.163936973,0.186993167,0.187249735
270,0.000540188,0.059307583,0.062809423,0.062502913,0.066475466,0.066505298,0.069461949,0.068861105,0.073225781,0.073233686,0.076431721,0.076397307,0.080384724,0.080339,0.084531441,0.08454977,0.087782271,0.089114837,0.092085071,0.09230724,0.096882798,0.096623056,0.103539363,0.102802455,0.110700183,0.109759882,0.117309995,0.117028363,0.124914505,0.124670781,0.130979016,0.130187914,0.143766761,0.143979266,0.156456202,0.157703146,0.170011446,0.169747874,0.194120735,0.194395453
271,-0.000105964,0.061753012,0.065534927,0.064149514,0.067815855,0.068176955,0.071977369,0.070845179,0.074181303,0.074223526,0.079050533,0.078429587,0.082792692,0.082775027,0.086873747,0.086467072,0.09045855,0.089818709,0.095219031,0.095521986,0.099049762,0.098758832,0.106805489,0.105433017,0.114119045,0.114403106,0.121569544,0.121191956,0.128717884,0.128396198,0.135582686,0.135256752,0.14900209,0.148744181,0.162655383,0.163627103,0.176303342,0.176169694,0.202240631,0.202452406
272,0.000855312,0.064523824,0.068214387,0.068601742,0.07142131,0.071733788,0.074841894,0.075769946,0.078447573,0.078057043,0.083108567,0.082050137,0.086654812,0.085732311,0.090990067,0.09018106,0.09349227,0.094978876,0.09930227,0.100521021,0.103329897,0.103385001,0.111332431,0.110923089,0.119920731,0.118552156,0.126533195,0.127048343,0.135675609,0.134668067,0.142292053,0.14199914,0.155840203,0.157000691,0.171173096,0.172463775,0.186666668,0.185219243,0.211635917,0.213278696
