Wavelength (nm),H2O,prot_5uM,vel_1-2,vel_2-2,vel_3-2,vel_4-2,vel_5-2,vel_6-2,vel_7-2,vel_8-2,vel_9-2,vel_10-2,vel_12-2,vel_14-2,vel_16-2,vel_18-2,vel_20-2,vel_24-2,vel_28-2,vel_32-2,vel_40-2
430,-0.000369081,9.34E-05,0.000106327,0.000379939,0.000617586,0.000500638,0.000816304,0.001538744,0.002918279,0.003226449,0.003989539,0.004694332,0.005238429,0.00547217,0.005372672,0.006586628,0.007071898,0.008462999,0.013065842,0.013455442,0.009793354
431,-0.000132775,0.000305484,0.000453681,0.000513078,0.000519065,0.001345668,0.001554072,0.001383996,0.003221937,0.003020239,0.004400808,0.004647573,0.005289574,0.005624449,0.00610371,0.006934051,0.007718919,0.008787361,0.013243411,0.014149087,0.010004449
432,-8.52E-05,0.000423546,5.92E-05,0.000608539,0.001374725,0.001371245,0.001602135,0.002330439,0.003348698,0.003101157,0.003913522,0.004518576,0.004763131,0.005006227,0.005608558,0.006825961,0.007188524,0.008888146,0.013521558,0.014324158,0.010457094
433,-0.00049321,0.000236326,-0.000302191,0.000529276,0.000578833,0.001288001,0.001842194,0.002093726,0.002688277,0.003038382,0.003202301,0.004464434,0.00479336,0.004810452,0.005657623,0.00653956,0.007053639,0.008169794,0.013558438,0.01387078,0.009818428
434,-0.000418219,-0.000328834,0.00023819,7.76E-05,0.000919874,0.001054086,0.000578056,0.001826232,0.003104677,0.003106502,0.003622065,0.004780928,0.004936499,0.004836469,0.005519201,0.006790121,0.006667162,0.008429426,0.013157139,0.014108761,0.009308288
435,-7.81E-05,0.000516706,0.000403309,0.000708248,0.000871652,0.001030811,0.001631729,0.00168583,0.003538466,0.003381725,0.004039126,0.004926917,0.005122928,0.005122587,0.006142092,0.007469138,0.00739459,0.008992205,0.014058144,0.014432873,0.009705674
436,-7.20E-05,0.0002514,0.000248214,0.000845923,0.000811325,0.001469051,0.001015502,0.001928093,0.003350994,0.002921875,0.00400942,0.004942181,0.005319185,0.005252603,0.00560452,0.00658308,0.007155549,0.008642234,0.013298124,0.013965454,0.010121441
437,-0.000749477,-1.72E-05,-0.000539077,0.00029419,0.000380976,0.000791096,0.001322351,0.001615152,0.002555382,0.002929719,0.00367182,0.004654638,0.004757609,0.004851102,0.005411174,0.006249015,0.006722209,0.007974063,0.013772279,0.013537553,0.009077311
438,0.000184891,0.000242775,5.36E-05,0.000634333,0.000990413,0.00100707,0.00182891,0.002070213,0.003306493,0.003066744,0.004115217,0.004658301,0.005361849,0.005462576,0.005546127,0.007000628,0.007058427,0.008339223,0.013880615,0.014027637,0.009763676
439,-6.00E-05,0.000639569,0.000501675,0.000929783,0.001107596,0.001134042,0.001478869,0.00206925,0.003330256,0.003188897,0.004257871,0.004846207,0.005135999,0.005765449,0.00586194,0.006765931,0.006881318,0.008607353,0.014571943,0.013815888,0.009837069
440,-4.29E-05,0.000484338,2.73E-05,0.000634877,0.000853211,0.001247293,0.00157896,0.00215855,0.003215835,0.003259258,0.003789233,0.004588864,0.004867541,0.005517392,0.005686367,0.006728177,0.007453364,0.008165599,0.013960081,0.013850255,0.009823856
441,-0.000246468,0.000338436,0.000142914,0.000550296,0.001344344,0.000901534,0.001300177,0.001690403,0.002753217,0.003184125,0.003646681,0.004426827,0.005291251,0.005277233,0.005632604,0.006780234,0.006703465,0.008040247,0.014191183,0.014013387,0.009592657
