Wavelength (nm),H2O_2ml,vel_2,vel_4,vel_6,vel_8,vel_12,vel_16,vel_20,vel_28,vel_36
262,-0.000993712,0.013265189,0.028208541,0.043120183,0.056968689,0.086372286,0.115679942,0.143281817,0.197047159,0.249142796
263,-0.002155138,0.012984966,0.02815802,0.042658903,0.057576403,0.086378068,0.116597474,0.145148292,0.201448545,0.255285114
264,-0.001262847,0.014725304,0.029581146,0.043375861,0.060368616,0.08984822,0.12095058,0.150003597,0.206906617,0.261446625
265,-0.000344457,0.014940606,0.030016115,0.045963544,0.060902089,0.092341147,0.122455791,0.153415367,0.209761247,0.266232222
266,-0.001688001,0.01396401,0.029415136,0.044411708,0.060245603,0.091186546,0.123067975,0.152969375,0.210270464,0.267447829
267,-0.000266647,0.014441784,0.029564576,0.045534451,0.061180111,0.092760473,0.124637842,0.154755145,0.213486999,0.270303428
268,-0.00061901,0.014575504,0.029391259,0.045738176,0.061215933,0.093255922,0.124604076,0.155168816,0.214875385,0.272674918
269,-0.000853088,0.014072715,0.029985106,0.046078749,0.061789598,0.094414406,0.126073062,0.156012192,0.215599433,0.274513751
270,-0.001463196,0.015464704,0.029789109,0.046827652,0.062579893,0.093837656,0.126551002,0.156520814,0.215937227,0.275082707
271,-0.001261763,0.014098653,0.030770253,0.046450734,0.062606953,0.094993375,0.126745492,0.1568169,0.21687682,0.274994731
272,-0.000747047,0.015435923,0.031022685,0.046907958,0.063033119,0.093468256,0.125427529,0.156709984,0.216962993,0.275152206
273,-0.001616414,0.015096616,0.030145006,0.046356887,0.062047973,0.09196192,0.125128955,0.153371632,0.213552177,0.271406233
274,-0.000150682,0.013156045,0.029438017,0.045331627,0.060430344,0.090506442,0.122208528,0.151019216,0.209462732,0.265327305
275,-0.000331783,0.014415104,0.028761715,0.043890856,0.058988947,0.0886565,0.118126109,0.147033051,0.203022644,0.258728564
276,0.000228193,0.014575316,0.029558064,0.042740326,0.057476871,0.086545073,0.11490196,0.142777875,0.197972685,0.252738833
277,-0.001087608,0.011600996,0.02620879,0.040847898,0.054667749,0.082274832,0.109719791,0.136467934,0.189291954,0.241146743
278,-0.000746014,0.012175944,0.026954385,0.039455038,0.052941535,0.078842461,0.107027009,0.131782472,0.182508156,0.23252289
279,-4.74E-05,0.012599066,0.025977196,0.038265917,0.051208377,0.075241759,0.103260674,0.127105579,0.175159916,0.223609999
280,-0.000724875,0.011481824,0.023551069,0.037406191,0.048554957,0.073413737,0.098517165,0.121624067,0.169635311,0.215200424
